"plot_ID","LAT","LON"
"37_39_63",35.138399,-84.180002
"37_43_9",35.056361,-83.650709
"37_199_11",35.795849,-82.229811
"37_21_56",35.804517,-82.350409
"37_23_5",35.898331,-81.810685
"37_75_24",35.28354,-83.969726
"37_75_12",35.374042,-83.913566
"37_75_17",35.374272,-83.735862
"37_111_56",35.713585,-82.124406
"37_113_31",35.101422,-83.201614
"37_113_42",35.046375,-83.471467
"37_113_20",35.149178,-83.414789
"37_113_78",35.161208,-83.575031
"37_115_35",36.01385,-82.632125
"37_123_10",35.430122,-79.985293
"37_123_59",35.3082,-80.012246
"37_123_12",35.298737,-79.890807
"37_151_3",35.638991,-79.784947
"37_173_81",35.492631,-83.501103
"37_173_83",35.492266,-83.653628
"37_173_84",35.487887,-83.803517
"37_173_87",35.602497,-83.273274
"37_173_88",35.599113,-83.420678
"37_39_1",35.219374,-84.139063
"37_39_28",35.149167,-84.116066
"37_39_57",35.072756,-84.162885
"37_87_28",35.454968,-82.949991
"37_99_10",35.298088,-82.989113
"37_99_8",35.220215,-83.028695
"37_199_14",35.890475,-82.305722
"37_21_4",35.738718,-82.35637
"37_27_8",35.992963,-81.596443
"37_151_27",35.634976,-79.902883
"37_87_37",35.670292,-83.088604
"37_173_40",35.335961,-83.35222
"37_113_40",35.07992,-83.331235
"37_173_44",35.531659,-83.460119
"37_21_2",35.468127,-82.690401
"37_11_6",36.076969,-81.784968
"37_27_45",36.024309,-81.735957
"37_111_65",35.898746,-81.914305
"37_99_58",35.309384,-83.317336
"37_113_36",35.06229,-83.256237
"37_113_3",35.237743,-83.512077
"37_173_25",35.623381,-83.357952
"37_173_48",35.532762,-83.342978
"37_173_15",35.534752,-83.518756
"37_173_65",35.463218,-83.546806
"37_89_23",35.441396,-82.643455
"37_175_48",35.305864,-82.851578
"37_27_13",35.94636,-81.541472
"37_199_10",36.068933,-82.349116
"37_113_77",35.29867,-83.449276
"37_173_75",35.295788,-83.604755
"37_113_68",35.236733,-83.66313
"37_113_16",35.052076,-83.561186
"37_43_22",35.139539,-83.68762
"37_43_15",35.010196,-83.757237
"37_173_39",35.527097,-83.678916
"37_111_40",35.743313,-82.026139
"37_173_64",35.452627,-83.70464
"37_11_8",36.138759,-82.01199
"37_39_11",35.220139,-83.795829
"37_99_17",35.236228,-83.19635
"37_87_78",35.764973,-83.114277
"37_173_51",35.620843,-83.193812
"37_173_27",35.536256,-83.187682
"37_121_18",36.140443,-82.167389
"37_21_33",35.71917,-82.404498
"37_77_97",36.534009,-78.532865
"37_75_22",35.384577,-83.784596
"37_113_32",35.179739,-83.706349
"37_39_44",35.096106,-84.129643
"37_75_26",35.416529,-83.980001
"37_39_12",35.254281,-84.063244
"37_87_49",35.326649,-82.926618
"37_99_55",35.371025,-83.04567
"37_23_52",35.906045,-81.740188
"25_13_605",42.212975,-72.539511
"25_17_1195",42.20125,-71.478319
"25_27_319",42.676423,-72.203277
"25_1_312",41.660231,-69.967241
"25_13_768",42.193486,-72.527613
"25_1_423",41.752075,-70.585258
"25_1_492",41.833901,-69.976541
"25_1_572",42.031034,-70.052301
"25_1_952",41.972925,-70.037733
"25_1_44",41.72233,-70.58281
"25_1_53",42.02788,-70.0828
"25_1_897",41.797838,-69.973374
"25_1_9",41.69455,-70.55503
"25_1_10",41.66677,-70.58281
"25_13_647",42.080546,-72.157189
"25_17_933",42.368452,-71.39491
"25_3_897",42.3929,-73.228885
"25_5_897",41.796573,-71.11258
"25_27_1250",42.664021,-72.087989
"25_1_1108",41.667454,-70.604756
"25_15_820",42.341252,-72.859235
"25_1_1236",42.032597,-70.076294
"25_13_85",42.08343,-72.16619
"37_87_70",35.361675,-82.921993
"37_111_30",35.673834,-82.138523
"37_199_26",35.758062,-82.22184
"37_87_65",35.657412,-83.192394
"37_175_10",35.341775,-82.722617
"25_3_1224",42.245385,-73.239959
"37_27_7",35.972309,-81.717663
"37_113_10",35.26119,-83.557826
"37_111_39",35.801427,-82.076057
"25_17_897",42.446392,-71.459406
"25_17_898",42.446392,-71.459406
"37_123_66",35.438989,-79.925923
"37_75_46",35.344155,-83.832279
"37_75_48",35.34456,-83.631109
"37_113_63",35.13912,-83.526601
"37_75_37",35.440943,-83.775492
"37_75_32",35.431445,-83.690584
"37_113_41",35.077761,-83.521438
"37_113_61",35.143269,-83.613559
"37_43_1",35.034329,-83.678022
"37_173_82",35.56196,-83.627915
"25_27_185",42.52787,-71.61062
"37_115_32",35.76092,-82.942264
"25_27_895",42.364811,-71.896857
"25_27_896",42.364811,-71.896857
"25_1_18",41.97233,-70.05502
"25_1_24",41.94455,-69.99947
"25_17_91",42.36121,-71.38839
"25_27_604",42.498896,-71.636408
"25_3_158",42.25009,-73.24955
"37_87_42",35.760104,-83.140542
"37_113_79",35.045404,-83.457898
"25_27_79",42.41676,-72.0273
"25_1_633",41.64594,-70.58986
"25_13_92",42.22231,-72.52731
"25_27_281",42.66675,-72.08286
"1_79_67",34.391024,-87.448935
"1_29_28",33.85873,-85.576423
"1_79_7",34.368314,-87.508196
"1_133_13",34.285347,-87.381377
"1_133_9",34.223855,-87.246594
"1_83_27",34.625887,-86.814925
"1_27_10",33.449708,-85.869419
"1_59_74",34.364147,-87.908824
"1_121_10",33.305184,-86.088331
"1_27_49",33.226835,-86.084407
"1_27_14",33.397626,-85.868177
"1_7_12",32.899942,-87.356411
"1_105_57",32.859088,-87.383182
"1_29_32",33.778722,-85.607947
"1_29_41",33.615888,-85.659013
"1_27_23",33.271263,-86.08539
"1_27_27",33.481126,-85.722117
"1_89_4",34.625356,-86.637028
"1_65_27",32.999848,-87.496608
"18_101_20043",38.888253,-86.770612
"39_167_221",39.41674,-81.19428
"39_167_222",39.4723,-81.1665
"39_167_223",39.4723,-81.1665
"39_167_224",39.55563,-81.19428
"39_167_225",39.44452,-81.13872
"39_167_9601",39.430936,-81.445121
"39_111_150",39.58341,-81.1665
"39_111_151",39.66674,-81.05538
"39_87_160",38.75008,-82.55544
"39_87_161",38.7223,-82.55544
"39_87_162",38.63897,-82.61099
"39_87_163",38.75008,-82.52766
"39_121_9401",39.768475,-81.465752
"39_121_9601",39.768475,-81.465752
"18_101_20033",38.801846,-86.831252
"18_117_20028",38.442551,-86.662851
"18_117_20037",38.420564,-86.488193
"18_51_20091",38.374868,-87.40881
"39_153_20",41.22228,-81.58317
"18_25_10211",38.276908,-86.455493
"18_117_10211",38.463327,-86.422512
