"","plot_ID","LAT","LON"
"1","37_39_63",35.138399,-84.180002
"2","37_43_9",35.056361,-83.650709
"3","37_199_11",35.795849,-82.229811
"4","37_21_56",35.804517,-82.350409
"5","37_23_5",35.898331,-81.810685
"6","37_75_24",35.28354,-83.969726
"7","37_75_12",35.374042,-83.913566
"8","37_75_17",35.374272,-83.735862
"9","37_111_56",35.713585,-82.124406
"10","37_113_31",35.101422,-83.201614
"11","37_113_42",35.046375,-83.471467
"12","37_113_20",35.149178,-83.414789
"13","37_113_78",35.161208,-83.575031
"14","37_115_35",36.01385,-82.632125
"15","37_173_81",35.492631,-83.501103
"16","37_173_83",35.492266,-83.653628
"17","37_173_84",35.487887,-83.803517
"18","37_173_87",35.602497,-83.273274
"19","37_173_88",35.599113,-83.420678
"20","37_39_1",35.219374,-84.139063
"21","37_39_28",35.149167,-84.116066
"22","37_39_57",35.072756,-84.162885
"23","37_87_28",35.454968,-82.949991
"24","37_99_10",35.298088,-82.989113
"25","37_99_8",35.220215,-83.028695
"26","37_21_4",35.738718,-82.35637
"27","37_27_8",35.992963,-81.596443
"28","37_87_37",35.670292,-83.088604
"29","37_173_40",35.335961,-83.35222
"30","37_113_40",35.07992,-83.331235
"31","37_173_44",35.531659,-83.460119
"32","37_21_2",35.468127,-82.690401
"33","37_11_6",36.076969,-81.784968
"34","37_27_45",36.024309,-81.735957
"35","37_111_65",35.898746,-81.914305
"36","37_99_58",35.309384,-83.317336
"37","37_113_36",35.06229,-83.256237
"38","37_113_3",35.237743,-83.512077
"39","37_173_25",35.623381,-83.357952
"40","37_173_48",35.532762,-83.342978
"41","37_173_15",35.534752,-83.518756
"42","37_173_65",35.463218,-83.546806
"43","37_89_23",35.441396,-82.643455
"44","37_175_48",35.305864,-82.851578
"45","37_27_13",35.94636,-81.541472
"46","37_199_10",36.068933,-82.349116
"47","37_113_77",35.29867,-83.449276
"48","37_173_75",35.295788,-83.604755
"49","37_113_68",35.236733,-83.66313
"50","37_113_16",35.052076,-83.561186
"51","37_43_22",35.139539,-83.68762
"52","37_43_15",35.010196,-83.757237
"53","37_173_39",35.527097,-83.678916
"54","37_111_40",35.743313,-82.026139
"55","37_173_64",35.452627,-83.70464
"56","37_11_8",36.138759,-82.01199
"57","37_39_11",35.220139,-83.795829
"58","37_99_17",35.236228,-83.19635
"59","37_87_78",35.764973,-83.114277
"60","37_173_51",35.620843,-83.193812
"61","37_173_27",35.536256,-83.187682
"62","37_121_18",36.140443,-82.167389
"63","37_21_33",35.71917,-82.404498
"64","37_75_22",35.384577,-83.784596
"65","37_113_32",35.179739,-83.706349
"66","37_39_44",35.096106,-84.129643
"67","37_75_26",35.416529,-83.980001
"68","37_39_12",35.254281,-84.063244
"69","37_87_49",35.326649,-82.926618
"70","37_99_55",35.371025,-83.04567
"71","37_23_52",35.906045,-81.740188
"72","37_87_70",35.361675,-82.921993
"73","37_111_30",35.673834,-82.138523
"74","37_199_26",35.758062,-82.22184
"75","37_87_65",35.657412,-83.192394
